phi_1,phi_2_mode,phi_2_err_m,phi_2_err_p,width_mode,width_err_m,width_err_p,peak_int_mode,peak_int_err_m,peak_int_err_p,linear_density_mode,linear_density_err_m,linear_density_err_p
-15.9,-2.0917897592979666,-2.2139309814214996,-1.9767975893861924,0.11463386307876239,0.09673818121830147,0.1409789309863296,125.83612415208803,43.18812388391805,276.37638366648497,36.158315964649006,10.472543924291244,97.66637690034322
-15.7,-2.0252772415124496,-2.1396930096573006,-1.915606979102498,0.11504218670656904,0.09739313153798292,0.14091999867781216,115.92322122958318,41.37072496221635,229.41361317942216,33.42854722467948,10.099767951425136,81.03670043041188
-15.5,-1.9574657113081595,-2.0566189644035995,-1.84557072766632,0.11558161263539472,0.09829756868345142,0.14131765220611803,106.40287846429591,42.261077588206426,203.8926674638456,30.827056659866294,10.412937863300167,72.22506734317533
-15.3,-1.8908878964847358,-1.9825317162655112,-1.7841996179709163,0.11596443002416676,0.09913544301566352,0.14156972842316676,96.17653560544946,41.43949982401795,175.23679652232616,27.956568358616305,10.297537702115106,62.18499996653238
-15.1,-1.8226157146647113,-1.916471285008016,-1.7308589609507579,0.1163487958049476,0.10005521131234177,0.14194503896941874,90.45553555927265,41.03044908472849,155.23816637765478,26.38074015524977,10.290486757337053,55.2342748776702
-14.9,-1.75434075441032,-1.8422456570563217,-1.6689659599597952,0.11693084726704775,0.099531287626208,0.140201488955085,87.87138064316991,41.33041766812836,142.47337073969055,25.75529216605495,10.311440754031993,50.06984643005194
-14.7,-1.685409285481282,-1.7684228082214233,-1.606683133262178,0.11733236074310172,0.10112193051385071,0.1414499444840639,84.80525512806088,41.02997542709447,131.08358876458382,24.94195595809975,10.400076722749763,46.4773158033406
-14.5,-1.6172335097535568,-1.698364053500872,-1.5477479298028185,0.11780059313291046,0.10185663386270384,0.14151944966109511,80.28611430104966,40.85554260588007,120.81500096803417,23.707068289386378,10.431103066543454,42.857509188037085
-14.3,-1.5506761993547604,-1.6340430653959699,-1.495178211778758,0.11850093357515029,0.10270730352549592,0.14170996463660565,76.05942048181777,41.102617970782696,116.1769637964807,22.592522219532448,10.581829169296848,41.26770773611984
-14.1,-1.4862214875956052,-1.5608629964575726,-1.432504867082243,0.11901184571561674,0.1033425653622003,0.141618505246965,74.18961904154287,40.058744537374444,109.84844067318706,22.13213271400544,10.37687311937879,38.994543160962984
-13.9,-1.4232326067002903,-1.4877795393701387,-1.3691800492017205,0.11956029115765272,0.10409889815377922,0.14175452789845888,73.22740150754362,40.812426178360546,109.7627659073147,21.9457547496608,10.649481904687407,39.00155442627929
-13.7,-1.3611093353046804,-1.4213415117023291,-1.3111867546432852,0.12007049400735569,0.1046821224059999,0.14157807425683647,72.6468625488761,40.07573121198426,107.24915837044419,21.86467843305759,10.515838521857061,38.06096784846932
-13.5,-1.2980262000811835,-1.354036083785716,-1.2520587201765725,0.12078023623284917,0.10526404784632784,0.14140727704723688,68.7385731020427,40.63804526654234,108.043808805881,20.81068241054721,10.722666790328969,38.29671999086773
-13.3,-1.2351181758934637,-1.2864765949371602,-1.191427324657708,0.12130911889667786,0.10609251183218768,0.14158736083990495,69.67665301605163,41.25719946081494,108.5901079494196,21.18705837982777,10.971712292703172,38.5393766296411
-13.1,-1.180968129049178,-1.2259258953232328,-1.1360500126421227,0.12202065709967858,0.10706739790916242,0.14203161702150485,73.03478642189405,42.27478101500478,110.10554134719487,22.33845111971288,11.345628234494761,39.19982626267178
-12.9,-1.1205093101673178,-1.1662061449019743,-1.0804490790559012,0.12252676994450515,0.10790680208167211,0.1422304615678104,83.03198601962164,45.303090462258744,116.26253445326513,25.50153630952427,12.253681438026605,41.44979048521019
-12.7,-1.0687567449290931,-1.1070678141715575,-1.0252341212344338,0.12319104866474515,0.10886446637406277,0.14269377651825796,88.10469468484288,49.113634308113824,123.26158209819516,27.20621569514148,13.402263568713666,44.08823409619132
-12.5,-1.0106131252517145,-1.0496261641323867,-0.9707161139283319,0.12387102585499515,0.10965277079992886,0.14287501283156026,93.72201063576695,53.98144477075002,130.7801984062338,29.100554573867935,14.837271659799768,46.83690709995137
-12.3,-0.9564360770149976,-0.9959055294913126,-0.9196162565791761,0.12449025846639583,0.11012829480152923,0.1426468101099396,102.32891816612818,60.26467260000356,138.83638629002758,31.931820959837818,16.636104911047674,49.642689191869025
-12.1,-0.9039757049660202,-0.9407736563964153,-0.8670205537992179,0.12499596581060742,0.11087924103024557,0.14280179409552318,111.46675392839197,69.77953554396053,151.59189003695303,34.92458745920037,19.39403848790353,54.26247086627526
-11.9,-0.8542113506055127,-0.8903767795509514,-0.8190430078282599,0.12545735104914457,0.11193887960358301,0.143408295659594,123.12235274298098,80.73763178286822,165.8685087946343,38.718894910135226,22.654104334408487,59.624966613971004
-11.7,-0.8062967900773258,-0.8406554365616435,-0.7716554259701894,0.12586713697794746,0.11267865526984454,0.14358268709942873,137.27367756421373,93.90666150698388,182.10137203209152,43.310136895130235,26.523326454243165,65.53981767625791
-11.5,-0.7612436254179866,-0.7899967318213352,-0.7234262959122566,0.12624277787850344,0.1135979452461417,0.1439343241974837,155.8259065874896,109.05445292528714,199.76770063746935,49.310129007249316,31.05301789469145,72.07415809326216
-11.299999999999999,-0.7173861710840802,-0.7443130844625546,-0.6805030935447146,0.12665952788781212,0.11427184412830138,0.14403819816298905,177.0813766123633,128.60516708483277,223.0265260639111,56.22127475903716,36.837282807990356,80.52377633293666
